07/09/2025 | 06:30 | Copa da Liga Japonesa (quartas) | Sanfrecce Hiroshima | Shonam Bellmare | Canal GOAT
07/09/2025 | 07:00 | Copa da Liga Japonesa (quartas) | Kawasaki Frontale | Urawa Reds | Canal GOAT
07/09/2025 | 07:00 | Copa da Liga Japonesa (quartas) | Kashiwa Reysol | Yokohama F. Marinos | Canal GOAT
07/09/2025 | 07:00 | Copa da Liga Japonesa (quartas) | Vissel Kobe | Yokohama FC | Canal GOAT
07/09/2025 | 10:00 | Eliminatórias Europeias | Geórgia | Bulgária | ESPN, Disney+
07/09/2025 | 10:30 | Brasileirão Feminino (final) | Cruzeiro (F) | Corinthians (F) | Globo, Sportv, TV Brasil
07/09/2025 | 11:00 | Campeonato Uruguaio | Cerro | Cerro Largo | Disney+
07/09/2025 | 13:00 | Eliminatórias Europeias | Lituânia | Holanda | Sportv
07/09/2025 | 13:00 | Eliminatórias Europeias | Macedônia do Norte | Liechtenstein | ESPN, Disney+
07/09/2025 | 13:00 | Eliminatórias Africanas | República Centro-Africana | Comores | FIFA+
07/09/2025 | 15:30 | Campeonato Uruguaio | Progreso | Miramar Misiones | Disney+
07/09/2025 | 15:45 | Eliminatórias Europeias | Alemanha | Irlanda do Norte | Sportv
07/09/2025 | 15:45 | Eliminatórias Europeias | Turquia | Espanha | ESPN, Disney+
07/09/2025 | 15:45 | Eliminatórias Europeias | Bélgica | Cazaquistão | Disney+
07/09/2025 | 15:45 | Eliminatórias Europeias | Polônia | Finlândia | Disney+
07/09/2025 | 16:00 | Brasileirão Série B | Criciúma | Chapecoense | Disney+
07/09/2025 | 16:00 | Liga Feminina dos EUA | Chicago Stars | Orlando Pride | Xsports, Canal GOAT
07/09/2025 | 16:30 | Brasileirão Série C | Floresta | Caxias | SportyNet+
07/09/2025 | 18:00 | Campeonato Uruguaio | Nacional | Racing | Disney+
07/09/2025 | 18:00 | Liga Feminina dos EUA | NJ/NY Gotham (F) | Angel City (F) | Disney+
07/09/2025 | 18:30 | Brasileirão Série B | América-MG | Operário-PR | Disney+
07/09/2025 | 19:00 | Brasileirão Série C | Brusque | Náutico | SportyNet+
07/09/2025 | 19:00 | Brasileirão Série D (quartas) | América-RN | Santa Cruz | Metrópoles (YouTube)
07/09/2025 | 20:00 | MLS | Sporting Kansas City | Austin | Space, HBO Max, Apple TV
07/09/2025 | 20:30 | Brasileirão Série B | Avaí | Goiás | RedeTV!, Desimpedidos, ESPN, Disney+
07/09/2025 | 20:30 | Campeonato Uruguaio | Montevideo City Torque | Liverpool | Disney+
07/09/2025 | 21:30 | Liga Feminina dos EUA | San Diego Wave (F) | Houston Dash (F) | ESPN 4, Disney+
